id,direccion,tipo,uso,superficie,ano_construccion,categoria,potencialadquisicion,noticiastate,responsable,encargostate,coordinates,zona,date_time,inmuebleimages,location,habitaciones,garaje,descripcion,ascensor,banyos,trastero,jardin,terraza,aireacondicionado,tipoagrupacion,nestedinmuebles,nestedescaleras,localizado,localizado_phone
10026,AV CAMI REIAL 122,Urbano,Residencial,89,1920,NULL,0,false,NULL,false,"[""39.3983433697085"",""39.4010413302915"",""-0.406252380291502"",""-0.4035544197084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10027,AV CAMI REIAL 123,Urbano,Residencial,84,1950,NULL,0,false,NULL,false,"[""39.3982167697085"",""39.4009147302915"",""-0.4061180302915021"",""-0.403420069708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10028,AV CAMI REIAL 121,Urbano,Residencial,105,1950,NULL,0,false,NULL,false,"[""39.3982624197085"",""39.4009603802915"",""-0.406115330291502"",""-0.403417369708498""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10029,AV CAMI REIAL 100(A),Urbano,Residencial,288,1900,NULL,0,false,Jaime Alcon,false,"[""39.3990119197085"",""39.4017098802915"",""-0.4059969802915021"",""-0.403299019708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10030,CL CASALET 12,Urbano,Residencial,127,1912,NULL,0,false,Jaime Alcon,false,"[""39.3980297197085"",""39.4007276802915"",""-0.403184430291502"",""-0.4004864697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10031,CL ALBAL 6,Urbano,Residencial,85,1930,NULL,0,false,Jaime Alcon,false,"[""39.3974294697085"",""39.4001274302915"",""-0.403083580291502"",""-0.4003856197084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10032,CL ALBAL 10,Urbano,Residencial,92,1930,NULL,0,false,Jaime Alcon,false,"[""39.3973696697085"",""39.4000676302915"",""-0.403116930291502"",""-0.4004189697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10033,CL ALBAL 12,Urbano,Residencial,117,1930,NULL,0,false,Jaime Alcon,false,"[""39.3973417697085"",""39.4000397302915"",""-0.403137680291502"",""-0.400439719708498""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10034,AV RAMON Y CAJAL 35,Urbano,Industrial,130,2006,NULL,0,false,Jaime Alcon,false,"[""39.4036463697085"",""39.4063443302915"",""-0.404041630291502"",""-0.4013436697084979""]",zona Jaime,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
10035,CL NUMERO 29 120,Urbano,Industrial,999,1970,NULL,0,false,NULL,false,"[""39.4013807197085"",""39.4040786802915"",""-0.396107680291502"",""-0.3934097197084979""]",NULL,2024-07-23 18:35:33+00,NULL,Catarroja,0,false,NULL,false,0,false,false,false,true,1,,,false,
